FORM_ID,ORDEM,SECAO,TIPO,TITULO,DESCRICAO,OBRIGATORIA,OPCOES_JSON,LINHAS_JSON,COLUNAS_JSON,ESCALA_MIN,ESCALA_MAX,ROTULO_MIN,ROTULO_MAX,RESPOSTAS_CORRETAS_JSON,PONTOS,FEEDBACK_CORRETO,FEEDBACK_INCORRETO,MOSTRAR_OUTRA_OPCAO,NAVEGACAO_JSON
FORM-2026-0015,1,,TEXT,Nome completo,Identificação para vínculo clínico.,TRUE,,,,,,,,,,,,FALSE,
FORM-2026-0015,2,,DATE,Data de nascimento,,TRUE,,,,,,,,,,,,FALSE,
FORM-2026-0015,3,,DATE,Data de aplicação do rastreio,,TRUE,,,,,,,,,,,,FALSE,
FORM-2026-0015,4,,MULTIPLE_CHOICE,Tristeza,,TRUE,"[""Não me sinto triste."",""Eu me sinto triste grande parte do tempo."",""Estou triste o tempo todo."",""Estou tão triste e tão infeliz que não consigo suportar.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,5,,MULTIPLE_CHOICE,Pessimismo,,TRUE,"[""Não estou desanimado (a) a respeito do meu futuro."",""Eu me sinto mais desanimado (a) a respeito do meu futuro do que de costume."",""Não espero que as coisas dêem certo para mim."",""Sinto que não há esperança quanto ao meu futuro. Acho que só vai piorar.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,6,,MULTIPLE_CHOICE,Perda de prazer,,TRUE,"[""Continuo sentindo o mesmo prazer que sentia com as coisas de que eu gosto."",""Não sinto tanto prazer com as coisas como costumava sentir."",""Tenho muito pouco prazer nas coisas que eu costumava gostar."",""Não tenho mais nenhum prazer nas coisas que costumava gostar.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,7,,MULTIPLE_CHOICE,Fracasso passado,,TRUE,"[""Não me sinto um (a) fracassado (a)."",""Tenho fracassado mais do que deveria."",""Quando penso no passado, vejo muitos fracassos."",""Sinto que como pessoa sou um fracasso total.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,8,,MULTIPLE_CHOICE,Sentimentos de culpa,,TRUE,"[""Não me sinto particularmente culpado (a)."",""Eu me sinto culpado (a) a respeito de várias coisas que eu fiz ou que deveria ser feito."",""Eu me sinto culpado (a) a maior parte do tempo."",""Eu me sinto culpado (a) o tempo todo.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,9,,MULTIPLE_CHOICE,Sentimentos de punição,,TRUE,"[""Não sinto que estou sendo punido (a)."",""Sinto que posso ser punido (a)."",""Eu acho que serei punido (a)."",""Sinto que estou sendo punido (a).""]",,,,,,,,,,,FALSE,
FORM-2026-0015,10,,MULTIPLE_CHOICE,Autoestima,,TRUE,"[""Eu me sinto como sempre me senti em relação a mim mesmo (a)."",""Perdi a confiança em mim mesmo (a)."",""Estou desapontado (a) comigo mesmo (a)."",""Não gosto de mim.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,11,,MULTIPLE_CHOICE,Autocrítica,,TRUE,"[""Não me critico e não me culpo mais do que o habitual."",""Estou sendo mais crítico (a) comigo (a) mesmo (a)."",""Eu me critico por todos os meus erros."",""Eu me critico por tudo de ruim que acontece.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,12,,MULTIPLE_CHOICE,Pensamentos ou desejos suicidas,,TRUE,"[""Não tenho nenhum pensamento de me matar."",""Tenho pensamentos de me matar, mas não levaria isso adiante."",""Gostaria de matar."",""Eu me mataria se tivesse oportunidade.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,13,,MULTIPLE_CHOICE,Choro,,TRUE,"[""Não choro mais do que chorava antes."",""Choro mais agora do que costumava chorar."",""Choro por qualquer coisinha."",""Sinto vontade de chorar mas não consigo.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,14,,MULTIPLE_CHOICE,Agitação,,TRUE,"[""Não me sinto mais inquieto (a) ou agitado (a) do que me sentia antes."",""Eu me sinto mais inquieto (a) ou agitado (a) do que me sentia antes."",""Eu me sinto tão inquieto (a) ou agitado (a) que é difícil ficar parado (a)."",""Estou tão inquieto (a) ou agitado (a) que tenho que estar sempre me mexendo ou fazendo alguma coisa.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,15,,MULTIPLE_CHOICE,Perda de interesse,,TRUE,"[""Não perdi o interesse por outras pessoas ou por minhas atividades."",""Estou menos interessados pelas outras pessoas ou coisas do que costumava estar."",""Perdi quase todo o interesse por outras pessoas ou coisas."",""É difícil me interessar por alguma coisa.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,16,,MULTIPLE_CHOICE,Indecisão,,TRUE,"[""Tomo minhas decisões tão bem quanto antes."",""Acho mais difícil tomar decisões agora do que antes."",""Tenho muito mais dificuldades em tomar decisões agora do que antes."",""Tenho dificuldade para tomar qualquer decisão.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,17,,MULTIPLE_CHOICE,Desvalorização,,TRUE,"[""Não me sinto sem valor."",""Não me considero hoje tão útil ou não me valorizo como antes."",""Eu me sinto com menos valor quando me comparo com outras pessoas."",""Eu me sinto completamente sem valor.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,18,,MULTIPLE_CHOICE,Falta de energia,,TRUE,"[""Tenho tanta energia hoje como sempre tive."",""Tenho menos energia do que costumava ter."",""Não tenho energia suficiente para fazer muita coisa."",""Não tenho energia suficiente para nada.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,19,,MULTIPLE_CHOICE,Alterações no padrão de sono,,TRUE,"[""Não percebi nenhuma mudança no meu sono."",""Durmo um pouco mais do que o habitual."",""Durmo um pouco menos do que o habitual."",""Durmo muito mais do que o habitual."",""Durmo muito menos do que o habitual."",""Durmo a maior parte do dia."",""Acordo 1 ou 2 horas mais cedo e não consigo voltar a dormir.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,20,,MULTIPLE_CHOICE,Irritabilidade,,TRUE,"[""Não estou mais irritado (a) do que o habitual."",""Estou mais irritado (a) do que o habitual."",""Estou muito mais irritado (a) do que o habitual."",""Fico irritado (a) o tempo todo.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,21,,MULTIPLE_CHOICE,Alterações de apetite,,TRUE,"[""Não percebi nenhuma mudança no meu apetite."",""Meu apetite está um pouco menor do que o habitual."",""Meu apetite está um pouco maior do que o habitual."",""Meu apetite está muito menor do que antes."",""Meu apetite está muito maior do que antes."",""Não tenho nenhum apetite."",""Quero comer o tempo todo.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,22,,MULTIPLE_CHOICE,Dificuldade de concentração,,TRUE,"[""Posso me concentrar tão bem quanto antes."",""Não posso me concentrar tão bem como habitualmente."",""É muito difícil manter a concentração em alguma coisa por muito tempo."",""Eu acho que não consigo me concentrar em nada.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,23,,MULTIPLE_CHOICE,Cansaço ou fadiga,,TRUE,"[""Não estou mais cansado (a) ou fatigado (a) do que o habitual."",""Fico cansado (a) ou fatigado (a) mais facilmente do que o habitual."",""Eu me sinto cansado (a) ou fatigado (a) para fazer muitas coisas que costumava fazer."",""Eu me sinto muito cansado (a) ou fatigado (a) para fazer a maioria das coisas que costumava fazer.""]",,,,,,,,,,,FALSE,
FORM-2026-0015,24,,MULTIPLE_CHOICE,Perda de interesse por sexo,,TRUE,"[""Não notei qualquer mudança recente no meu interesse por sexo."",""Estou menos interessado (a) em sexo do que costumava estar."",""Estou muito menos interessado (a) em sexo agora."",""Perdi completamente o interesse por sexo.""]",,,,,,,,,,,FALSE,
FORM-2026-0016,1,,TEXT,Nome completo,Identificação para vínculo clínico.,TRUE,,,,,,,,,,,,FALSE,
FORM-2026-0016,2,,DATE,Data de nascimento,,TRUE,,,,,,,,,,,,FALSE,
FORM-2026-0016,3,,DATE,Data de aplicação do rastreio,,TRUE,,,,,,,,,,,,FALSE,
FORM-2026-0016,4,,MULTIPLE_CHOICE,"Humor ansioso (preocupações, previsão do pior, antecipação temerosa, irritabilidade etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,5,,MULTIPLE_CHOICE,"Tensão (fadiga, inquietação, tremores, dificuldade para relaxar ou agitação)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,6,,MULTIPLE_CHOICE,"Medos (escuro, estranhos, ficar sozinho, animais, trânsito, multidões etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,7,,MULTIPLE_CHOICE,"Insônia (dificuldade para adormecer, sono interrompido, fadiga ao despertar, pesadelos etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,8,,MULTIPLE_CHOICE,"Dificuldades intelectuais (concentração, memória etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,9,,MULTIPLE_CHOICE,"Humor depressivo (perda de interesse ou prazer, despertar precoce, oscilação do humor etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,10,,MULTIPLE_CHOICE,"Sintomas musculares (dores, rigidez, contrações etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,11,,MULTIPLE_CHOICE,"Sintomas sensoriais (ondas de frio/calor, fraqueza, visão turva, formigamento, dormência, zumbido etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
FORM-2026-0016,12,,MULTIPLE_CHOICE,"Sintomas cardiovasculares (palpitações, dor no peito, sensação de desmaio, vertigem etc.)",,TRUE,"[""Ausente"",""Leve"",""Moderada"",""Frequente"",""Muito frequente""]",,,,,,,,,,,FALSE,
